Symbol	Scientific Name	Common Name	Fact Sheets	Plant Guides
NAVI4	Nassella viridula	green needlegrass	 	doc pdf
NIRU	Nicotiana rustica	Aztec tobacco	doc pdf	 
NOMI	Nolina microcarpa	sacahuista	 	doc pdf
NODE3	Notholithocarpus densiflorus	tanoak	 	 
LIDE3	Lithocarpus densiflorus		 	doc pdf
NOBI2	Nothoscordum bivalve	crowpoison	doc pdf	 
NULU	Nuphar lutea	yellow pond-lily	 	doc pdf
NYBI	Nyssa biflora	swamp tupelo	doc pdf	 
NYSY	Nyssa sylvatica	blackgum	doc pdf	doc pdf
OECE	Oemleria cerasiformis	Indian plum	doc pdf	 
OEBI	Oenothera biennis	common evening primrose	 	doc pdf
OEFR	Oenothera fruticosa	narrowleaf evening primrose	doc pdf	 
OLRIR	Oligoneuron rigidum var. rigidum	stiff goldenrod	doc pdf	 
ONVI	Onobrychis viciifolia	sainfoin	doc pdf	doc pdf
OPPO	Opuntia polyacantha	plains pricklypear	 	doc pdf
OSVI	Ostrya virginiana	hophornbeam	 	doc pdf
PAAU3	Packera aurea	golden ragwort	doc pdf	 
PACA15	Packera cana	woolly groundsel	 	doc pdf
PAMU11	Packera multilobata	lobeleaf groundsel	 	doc pdf
PAST10	Packera streptanthifolia	Rocky Mountain groundsel	 	doc pdf
PAQU	Panax quinquefolius	American ginseng	 	doc pdf
PAAB	Panicum abscissum	cutthroat grass	doc pdf	 
PAAM2	Panicum amarum	bitter panicgrass	doc pdf	doc pdf
PAAMA2	Panicum amarum var. amarulum	coastal panicgrass	doc pdf	 
PAAN	Panicum anceps	beaked panicgrass	doc pdf	doc pdf
PACO2	Panicum coloratum	kleingrass	doc pdf	doc pdf
PADI	Panicum dichotomiflorum	fall panicgrass	 	doc pdf
PAHAF	Panicum hallii var. filipes	Hall's panicgrass	doc pdf	 
PAHA2	Panicum havardii	Havard's panicgrass	doc pdf	 
PAHE2	Panicum hemitomon	maidencane	doc pdf	doc pdf
PAMI2	Panicum miliaceum	proso millet	 	doc pdf
PAOB	Panicum obtusum	vine mesquite	doc pdf	 
PARE3	Panicum repens	torpedo grass	 	doc pdf
PAVI2	Panicum virgatum	switchgrass	doc pdf	 
PABI2	Pappophorum bicolor	pink pappusgrass	doc pdf	doc pdf
PAVA2	Pappophorum vaginatum	whiplash pappusgrass	doc pdf	doc pdf
PAIN3	Parthenium integrifolium	wild quinine	 	doc pdf
PAQU2	Parthenocissus quinquefolia	Virginia creeper	doc pdf	doc pdf
PASM	Pascopyrum smithii	western wheatgrass	doc pdf	doc pdf
PADE24	Paspalum denticulatum	longtom	 	 
PALI7	Paspalum lividum		doc pdf	 
PADI6	Paspalum distichum	knotgrass	doc pdf	doc pdf
PAFL4	Paspalum floridanum	Florida paspalum	doc pdf	doc pdf
PANO2	Paspalum notatum	bahiagrass	doc pdf	 
PAPL3	Paspalum plicatulum	brownseed paspalum	doc pdf	 
PASE5	Paspalum setaceum	thin paspalum	doc pdf	 
PAVA	Paspalum vaginatum	seashore paspalum	doc pdf	doc pdf
PAIN6	Passiflora incarnata	purple passionflower	doc pdf	doc pdf
PALA13	Pavonia lasiopetala	Texas swampmallow	doc pdf	 
PEDE17	Pediocactus despainii	Despain's pincushion cactus	 	doc pdf
PESI4	Pediocactus sileri	Siler pincushion cactus	 	doc pdf
PEWI2	Pediocactus winkleri	Winkler's pincushion cactus	 	doc pdf
PEVI	Peltandra virginica	green arrow arum	doc pdf	 
PEGL2	Pennisetum glaucum	pearl millet	 	doc pdf
PENST	Penstemon	beardtongue	doc pdf	 
PEAC	Penstemon acuminatus	sharpleaf penstemon	 	doc pdf
PEAN4	Penstemon angustifolius	broadbeard beardtongue	doc pdf	 
PEAT3	Penstemon attenuatus	sulphur penstemon	doc pdf	doc pdf
PECY3	Penstemon cyaneus	blue penstemon	 	doc pdf
PECY4	Penstemon cyanocaulis	bluestem beardtongue	 	doc pdf
PEDE4	Penstemon deustus	scabland penstemon	 	doc pdf
PEEA	Penstemon eatonii	firecracker penstemon	 	doc pdf
PEEAE2	Penstemon eatonii ssp. eatonii	firecracker penstemon	 	doc pdf
PEEAE	Penstemon eatonii ssp. exsertus	firecracker penstemon	 	doc pdf
PEEAU	Penstemon eatonii ssp. undosus	firecracker penstemon	 	doc pdf
PEGR7	Penstemon grandiflorus	large beardtongue	 	doc pdf
PEHU	Penstemon humilis	low beardtongue	 	doc pdf
PEPA6	Penstemon pachyphyllus	thickleaf beardtongue	 	doc pdf
PEPAC2	Penstemon pachyphyllus var. congestus	thickleaf beardtongue	 	doc pdf
PEPAM5	Penstemon pachyphyllus var. mucronatus	mucronate penstemon	 	doc pdf
PEPAP8	Penstemon pachyphyllus var. pachyphyllus	thickleaf beardtongue	 	doc pdf
PEPA8	Penstemon palmeri	Palmer's penstemon	 	doc pdf
PEPAE2	Penstemon palmeri var. eglandulosus	scented beardtongue	 	doc pdf
PEPAM3	Penstemon palmeri var. macranthus	scented beardtongue	 	doc pdf
PEPAP9	Penstemon palmeri var. palmeri	Palmer's penstemon	 	doc pdf
PERY	Penstemon rydbergii	Rydberg's penstemon	 	doc pdf
PERYA	Penstemon rydbergii var. aggregatus	meadow beardtongue	 	doc pdf
PERYO	Penstemon rydbergii var. oreocharis	herbaceous penstemon	 	doc pdf
PERYR	Penstemon rydbergii var. rydbergii	swollen penstemon	 	doc pdf
PESCA	Penstemon scariosus var. albifluvis	White River beardtongue	 	doc pdf
PESP	Penstemon speciosus	royal penstemon	 	doc pdf
PEST2	Penstemon strictus	Rocky Mountain penstemon	 	doc pdf
PEVE2	Penstemon venustus	Venus penstemon	 	doc pdf
PHAR2	Phacelia argillacea	Attwood's phacelia	 	doc pdf
PHAQ	Phalaris aquatica	bulbous canarygrass	 	doc pdf
PHAR3	Phalaris arundinacea	reed canarygrass	doc pdf	doc pdf
PHLE4	Philadelphus lewisii	Lewis' mock orange	doc pdf	doc pdf
PHPR3	Phleum pratense	timothy	doc pdf	doc pdf
PHAU7	Phragmites australis	common reed	doc pdf	doc pdf
PHCA11	Physocarpus capitatus	Pacific ninebark	doc pdf	 
PHOP	Physocarpus opulifolius	common ninebark	 	doc pdf
PHOPI	Physocarpus opulifolius var. intermedius	Atlantic ninebark	 	doc pdf
PHOPO	Physocarpus opulifolius var. opulifolius	common ninebark	 	doc pdf
PIEN	Picea engelmannii	Engelmann spruce	 	doc pdf
PIGL	Picea glauca	white spruce	 	doc pdf
PIMA	Picea mariana	black spruce	 	doc pdf
PIPU	Picea pungens	blue spruce	 	doc pdf
PIRU	Picea rubens	red spruce	doc pdf	 
PISI	Picea sitchensis	Sitka spruce	 	doc pdf
PIAL	Pinus albicaulis	whitebark pine	 	doc pdf
PIBA2	Pinus banksiana	jack pine	 	doc pdf
PIED	Pinus edulis	twoneedle pinyon	 	doc pdf
PIEL	Pinus elliottii	slash pine	 	doc pdf
PIJE	Pinus jeffreyi	Jeffrey pine	 	doc pdf
PIMO	Pinus monophylla	singleleaf pinyon	 	doc pdf
PIPA2	Pinus palustris	longleaf pine	doc pdf	doc pdf
PIPO	Pinus ponderosa	ponderosa pine	doc pdf	doc pdf
PIRA2	Pinus radiata	Monterey pine	 	doc pdf
PIRE	Pinus resinosa	red pine	doc pdf	doc pdf
PISA2	Pinus sabiniana	California foothill pine	 	doc pdf
PIST	Pinus strobus	eastern white pine	doc pdf	 
PISY	Pinus sylvestris	Scots pine	doc pdf	 
PITH2	Pinus thunbergii	Japanese black pine	doc pdf	 
PISA6	Pisum sativum	garden pea	doc pdf	doc pdf
PIGR4	Pityopsis graminifolia	narrowleaf silkgrass	doc pdf	 
PLHO	Plantago hookeriana	California plantain	doc pdf	 
PLRH	Plantago rhodosperma	redseed plantain	doc pdf	 
PLCI2	Platanthera ciliaris	yellow fringed orchid	 	doc pdf
PLOC	Platanus occidentalis	American sycamore	 	doc pdf
PLCO4	Plectritis congesta	shortspur seablush	doc pdf	 
PLJA	Pleuraphis jamesii	James' galleta	 	doc pdf
PLMU3	Pleuraphis mutica	tobosagrass	doc pdf	 
POAR	Poa arachnifera	Texas bluegrass	doc pdf	 
POBU	Poa bulbosa	bulbous bluegrass	 	doc pdf
POCO	Poa compressa	Canada bluegrass	 	doc pdf
POFE	Poa fendleriana	muttongrass	 	doc pdf
POPR	Poa pratensis	Kentucky bluegrass	doc pdf	doc pdf
POSE	Poa secunda	Sandberg bluegrass	doc pdf	doc pdf
POSC	Poa scabrella		doc pdf	 
PODOR	Polanisia dodecandra ssp. riograndensis	Rio Grande clammyweed	doc pdf	 
POIN3	Poliomintha incana	frosted mint	 	doc pdf
POPE2	Polygonum pensylvanicum	Pennsylvania smartweed	doc pdf	 
POGU	Polyscias guilfoylei	geranium aralia	doc pdf	 
PONU4	Polytaenia nuttallii	Nuttall's prairie parsley	 	doc pdf
POCO14	Pontederia cordata	pickerelweed	doc pdf	 
POAN3	Populus angustifolia	narrowleaf cottonwood	 	doc pdf
POBAT	Populus balsamifera ssp. trichocarpa	black cottonwood	 	doc pdf
PODE3	Populus deltoides	eastern cottonwood	doc pdf	 
POFR2	Populus fremontii	Fremont cottonwood	doc pdf	doc pdf
POTR5	Populus tremuloides	quaking aspen	 	doc pdf
POCR3	Potamogeton crispus	curly pondweed	 	doc pdf
POPE7	Potamogeton perfoliatus	claspingleaf pondweed	doc pdf	doc pdf
POGR9	Potentilla gracilis	slender cinquefoil	doc pdf	 
PRCUM	Primula cusickiana var. maguirei	Maguire's primrose	 	doc pdf
PRPA2	Proboscidea parviflora	doubleclaw	 	doc pdf
PRGL2	Prosopis glandulosa	honey mesquite	 	doc pdf
PRGLT	Prosopis glandulosa var. torreyana	western honey mesquite	 	doc pdf
PRPU	Prosopis pubescens	screwbean mesquite	 	doc pdf
PRVE	Prosopis velutina	velvet mesquite	 	doc pdf
PRVUL2	Prunella vulgaris ssp. lanceolata	lance selfheal	doc pdf	 
PRAM	Prunus americana	American plum	doc pdf	doc pdf
PRAN3	Prunus angustifolia	Chickasaw plum	doc pdf	doc pdf
PREM	Prunus emarginata	bitter cherry	 	doc pdf
PRIL	Prunus ilicifolia	hollyleaf cherry	 	doc pdf
PRMA2	Prunus maritima	beach plum	doc pdf	 
PRPUD	Prunus pumila var. depressa	eastern sandcherry	doc pdf	 
PRSE2	Prunus serotina	black cherry	 	doc pdf
PRSEE	Prunus serotina var. eximia	black cherry	 	doc pdf
PRSER2	Prunus serotina var. rufula	black cherry	 	doc pdf
PRSES	Prunus serotina var. serotina	black cherry	 	doc pdf
PRSEV	Prunus serotina var. virens	black cherry	 	doc pdf
PRVI	Prunus virginiana	chokecherry	doc pdf	doc pdf
PRVID	Prunus virginiana var. demissa	western chokecherry	doc pdf	 
PRVIM	Prunus virginiana var. melanocarpa	black chokecherry	doc pdf	 
PSJU3	Psathyrostachys juncea	Russian wildrye	 	doc pdf
PSSP6	Pseudoroegneria spicata	bluebunch wheatgrass	doc pdf	doc pdf
PSSPI	Pseudoroegneria spicata ssp. inermis	beardless wheatgrass	 	doc pdf
PSSPS	Pseudoroegneria spicata ssp. spicata	bluebunch wheatgrass	 	doc pdf
PSME	Pseudotsuga menziesii	Douglas-fir	doc pdf	doc pdf
PUTR2	Purshia tridentata	antelope bitterbrush	doc pdf	doc pdf
PYTE	Pycnanthemum tenuifolium	narrowleaf mountainmint	doc pdf	doc pdf
QUAC80	Quercus acutissima	sawtooth oak	doc pdf	 
QUAG	Quercus agrifolia	California live oak	 	doc pdf
QUAL	Quercus alba	white oak	doc pdf	 
QUBI	Quercus bicolor	swamp white oak	 	doc pdf
QUCH2	Quercus chrysolepis	canyon live oak	 	doc pdf
QUDO	Quercus douglasii	blue oak	 	doc pdf
QUEL	Quercus ellipsoidalis	northern pin oak	 	doc pdf
QUGA4	Quercus garryana	Oregon white oak	 	doc pdf
QUKE	Quercus kelloggii	California black oak	 	doc pdf
QULO	Quercus lobata	valley oak	 	doc pdf
QULY	Quercus lyrata	overcup oak	 	doc pdf
QUMA2	Quercus macrocarpa	bur oak	doc pdf	doc pdf
QUMI	Quercus michauxii	swamp chestnut oak	doc pdf	 
QUPA5	Quercus pagoda	cherrybark oak	 	doc pdf
QUPA2	Quercus palustris	pin oak	doc pdf	 
QUPH	Quercus phellos	willow oak	doc pdf	 
QURU	Quercus rubra	northern red oak	 	doc pdf
QUSH	Quercus shumardii	Shumard's oak	 	doc pdf
QUVI	Quercus virginiana	live oak	 	doc pdf
QUWI2	Quercus wislizeni	interior live oak	doc pdf	doc pdf
RAAC3	Ranunculus acris	tall buttercup	 	doc pdf
RAAE	Ranunculus aestivalis	fall buttercup	 	doc pdf
RAOC	Ranunculus occidentalis	western buttercup	 	doc pdf
RASA2	Raphanus sativus	cultivated radish	doc pdf	doc pdf
RACO3	Ratibida columnifera	upright prairie coneflower	doc pdf	doc pdf
RAPI	Ratibida pinnata	pinnate prairie coneflower	doc pdf	doc pdf
REFL	Redfieldia flexuosa	blowout grass	doc pdf	 
RHMA	Rhexia mariana	Maryland meadowbeauty	doc pdf	 
RHAR4	Rhus aromatica	fragrant sumac	 	doc pdf
RHARA	Rhus aromatica var. arenaria	fragrant sumac	 	doc pdf
RHARA2	Rhus aromatica var. aromatica	fragrant sumac	 	doc pdf
RHARS	Rhus aromatica var. serotina	fragrant sumac	doc pdf	doc pdf
RHCO	Rhus copallinum	winged sumac	doc pdf	 
RHGL	Rhus glabra	smooth sumac	doc pdf	doc pdf
RHTR	Rhus trilobata	skunkbush sumac	 	doc pdf
RHTRA	Rhus trilobata var. anisophylla	skunkbush sumac	 	doc pdf
RHTRP	Rhus trilobata var. pilosissima	pubescent skunkbush sumac	 	doc pdf
RHTRQ	Rhus trilobata var. quinata	skunkbush sumac	 	doc pdf
RHTRR	Rhus trilobata var. racemulosa	skunkbush sumac	 	doc pdf
RHTRS	Rhus trilobata var. simplicifolia	skunkbush sumac	 	doc pdf
RHTRT	Rhus trilobata var. trilobata	skunkbush sumac	 	doc pdf
RHTY	Rhus typhina	staghorn sumac	 	 
RHHI2	Rhus hirta		doc pdf	 
RIAM2	Ribes americanum	American black currant	 	doc pdf
RIAU	Ribes aureum	golden currant	 	doc pdf
RIAUA	Ribes aureum var. aureum	golden currant	 	doc pdf
RIAUG	Ribes aureum var. gracillimum	golden currant	 	doc pdf
RIAUV	Ribes aureum var. villosum	golden currant	doc pdf	doc pdf
RISA	Ribes sanguineum	redflower currant	doc pdf	 
ROHIF8	Robinia hispida var. fertilis	bristly locust	doc pdf	 
ROPS	Robinia pseudoacacia	black locust	doc pdf	 
ROCA3	Rosa canina	dog rose	 	doc pdf
ROGY	Rosa gymnocarpa	dwarf rose	 	doc pdf
RONU	Rosa nutkana	Nootka rose	 	doc pdf
ROPA	Rosa palustris	swamp rose	 	doc pdf
RORU82	Rosa rubiginosa	sweetbriar rose	 	doc pdf
RORU	Rosa rugosa	rugosa rose	doc pdf	 
ROVI2	Rosa virginiana	Virginia rose	 	doc pdf
ROVIL	Rosa virginiana var. lamprophylla	Virginia rose	 	doc pdf
ROVIV2	Rosa virginiana var. virginiana	Virginia rose	 	doc pdf
ROWO	Rosa woodsii	Woods' rose	 	doc pdf
ROWOG	Rosa woodsii var. glabrata	Woods' rose	 	doc pdf
ROWOG2	Rosa woodsii var. gratissima	Tehachapi rose	 	doc pdf
ROWOU	Rosa woodsii var. ultramontana	Woods' rose	 	doc pdf
ROWOW	Rosa woodsii var. woodsii	Woods' rose	 	doc pdf
RUAR9	Rubus armeniacus	Himalayan blackberry	 	doc pdf
RUID	Rubus idaeus	American red raspberry	 	doc pdf
RUSP	Rubus spectabilis	salmonberry	 	doc pdf
RUHI2	Rudbeckia hirta	blackeyed Susan	doc pdf	 
SAMI8	Sabal minor	dwarf palmetto	 	doc pdf
SAPA	Sabal palmetto	cabbage palmetto	 	doc pdf
SABRC3	Saccharum brevibarbe var. contortum	sortbeard plumegrass	doc pdf	 
SACU	Sagittaria cuneata	arumleaf arrowhead	 	doc pdf
SALA2	Sagittaria latifolia	broadleaf arrowhead	doc pdf	doc pdf
SAAM2	Salix amygdaloides	peachleaf willow	 	doc pdf
SABE2	Salix bebbiana	Bebb willow	 	doc pdf
SACO28	Salix ¡Ácottetii	Cottet willow	doc pdf	 
SADR	Salix drummondiana	Drummond's willow	 	doc pdf
SAEX	Salix exigua	narrowleaf willow	doc pdf	doc pdf
SAHU2	Salix humilis	prairie willow	 	doc pdf
SAIN3	Salix interior	sandbar willow	doc pdf	 
SALE	Salix lemmonii	Lemmon's willow	 	doc pdf
SALU	Salix lucida	shining willow	 	doc pdf
SALUL	Salix lucida ssp. lasiandra	Pacific willow	 	doc pdf
SANI	Salix nigra	black willow	doc pdf	doc pdf
SAPR3	Salix prolixa	MacKenzie's willow	 	doc pdf
SAPU2	Salix purpurea	purpleosier willow	doc pdf	 
SASI2	Salix sitchensis	Sitka willow	 	doc pdf
SAAP2	Salvia apiana	white sage	 	doc pdf
SAAZG	Salvia azurea var. grandiflora	pitcher sage	doc pdf	doc pdf
SACO6	Salvia columbariae	chia	 	doc pdf
SADO4	Salvia dorrii	purple sage	 	doc pdf
SALY2	Salvia lyrata	lyreleaf sage	doc pdf	 
SANIC4	Sambucus nigra ssp. canadensis	American black elderberry	doc pdf	doc pdf
SANIC5	Sambucus nigra ssp. cerulea	blue elderberry	 	doc pdf
SARA2	Sambucus racemosa	red elderberry	doc pdf	 
SAMI3	Sanguisorba minor	small burnet	doc pdf	doc pdf
SAVE4	Sarcobatus vermiculatus	greasewood	 	doc pdf
SAAL5	Sassafras albidum	sassafras	 	doc pdf
SAOR2	Saxifraga oregana	Oregon saxifrage	 	doc pdf
SCAR7	Schedonorus arundinaceus	tall fescue	 	 
LOAR10	Lolium arundinaceum		doc pdf	doc pdf
SCLI11	Schizachyrium littorale	shore little bluestem	doc pdf	 
SCMA3	Schizachyrium maritimum	gulf bluestem	doc pdf	 
SCSC	Schizachyrium scoparium	little bluestem	doc pdf	doc pdf
SCSCD	Schizachyrium scoparium var. divergens	little bluestem	 	doc pdf
SCSCS3	Schizachyrium scoparium var. stoloniferum	creeping bluestem	doc pdf	 
SCTE5	Schizachyrium tenerum	slender little bluestem	doc pdf	 
SCFO2	Schleinitzia fosbergii	strand tangantangan	 	doc pdf
SCAR5	Schoenocrambe argillacea	Uinta Basin plainsmustard	 	doc pdf
SCBA80	Schoenocrambe barnebyi	Syes Butte plainsmustard	 	doc pdf
SCAC3	Schoenoplectus acutus	hardstem bulrush	 	doc pdf
SCACO2	Schoenoplectus acutus var. occidentalis	tule	 	doc pdf
SCAM6	Schoenoplectus americanus	chairmaker's bulrush	 	doc pdf
SCCA11	Schoenoplectus californicus	California bulrush	doc pdf	doc pdf
SCPU10	Schoenoplectus pungens	common threesquare	 	doc pdf
SCTA2	Schoenoplectus tabernaemontani	softstem bulrush	 	doc pdf
SCCY	Scirpus cyperinus	woolgrass	 	doc pdf
SCGL3	Sclerocactus glaucus	Colorado hookless cactus	 	doc pdf
SCWR	Sclerocactus wrightiae	Wright's fishhook cactus	 	doc pdf
SCBR2	Scleropogon brevifolius	burrograss	doc pdf	 
SECE	Secale cereale	cereal rye	doc pdf	doc pdf
SEVA4	Securigera varia	crownvetch	 	 
COVA2	Coronilla varia		doc pdf	 
SEAT	Senecio atratus	tall blacktip ragwort	 	doc pdf
SEIN2	Senecio integerrimus	lambstongue ragwort	 	doc pdf
SEJA	Senecio jacobaea	stinking willie	 	doc pdf
SEHE3	Senna hebecarpa	American senna	doc pdf	 
SERE2	Serenoa repens	saw palmetto	 	doc pdf
SEOR4	Sesamum orientale	sesame	 	doc pdf
SEHE8	Sesbania herbacea	bigpod sesbania	 	doc pdf
SEIT	Setaria italica	foxtail millet	 	doc pdf
SELE6	Setaria leucopila	streambed bristlegrass	 	doc pdf
SEPA10	Setaria parviflora	marsh bristlegrass	doc pdf	 
SEVU2	Setaria vulpiseta	plains bristlegrass	doc pdf	doc pdf
SHAR	Shepherdia argentea	silver buffaloberry	doc pdf	doc pdf
SHCA	Shepherdia canadensis	russet buffaloberry	 	doc pdf
SICA2	Sidalcea campestris	meadow checkerbloom	doc pdf	 
SIMAV	Sidalcea malviflora ssp. virgata	dwarf checkerbloom	 	 
SIVI3	Sidalcea virgata		 	doc pdf
SISP2	Silene spaldingii	Spalding's silene	 	doc pdf
SILA3	Silphium laciniatum	compassplant	doc pdf	doc pdf
SIPE2	Silphium perfoliatum	cup plant	 	doc pdf
SIPEC2	Silphium perfoliatum var. connatum	cup plant	 	doc pdf
SIPEP	Silphium perfoliatum var. perfoliatum	cup plant	 	doc pdf
SICA7	Simsia calva	awnless bushsunflower	doc pdf	doc pdf
SIID	Sisyrinchium idahoense	Idaho blue-eyed grass	 	doc pdf
SOEL	Solanum elaeagnifolium	silverleaf nightshade	 	doc pdf
SOME	Solanum melongena	eggplant	 	doc pdf
SOCA6	Solidago canadensis	Canada goldenrod	doc pdf	doc pdf
SOMI2	Solidago missouriensis	Missouri goldenrod	doc pdf	doc pdf
SONE	Solidago nemoralis	gray goldenrod	doc pdf	 
SOSE	Solidago sempervirens	seaside goldenrod	doc pdf	doc pdf
SONU2	Sorghastrum nutans	Indiangrass	doc pdf	 
SOSE5	Sorghastrum secundum	lopsided Indiangrass	doc pdf	 
SOBI2	Sorghum bicolor	sorghum	 	doc pdf
SPAM	Sparganium americanum	American bur-reed	 	doc pdf
SPAN	Sparganium androcladum	branched bur-reed	 	doc pdf
SPAN2	Sparganium angustifolium	narrowleaf bur-reed	 	doc pdf
SPER	Sparganium erectum	simplestem bur-reed	 	doc pdf
SPERS2	Sparganium erectum ssp. stoloniferum	simplestem bur-reed	 	doc pdf
SPEU	Sparganium eurycarpum	broadfruit bur-reed	 	doc pdf
SPFL	Sparganium fluctuans	floating bur-reed	 	doc pdf
SPGL	Sparganium glomeratum	clustered bur-reed	 	doc pdf
SPHY	Sparganium hyperboreum	northern bur-reed	 	doc pdf
SPNA	Sparganium natans	small bur-reed	 	doc pdf
SPAL	Spartina alterniflora	smooth cordgrass	doc pdf	doc pdf
SPBA	Spartina bakeri	sand cordgrass	doc pdf	 
SPCY	Spartina cynosuroides	big cordgrass	doc pdf	 
SPPA	Spartina patens	saltmeadow cordgrass	doc pdf	doc pdf
SPPE	Spartina pectinata	prairie cordgrass	doc pdf	doc pdf
SPSP	Spartina spartinae	gulf cordgrass	doc pdf	 
SPAM2	Sphaeralcea ambigua	desert globemallow	 	doc pdf
SPCO	Sphaeralcea coccinea	scarlet globemallow	 	doc pdf
SPGI2	Sphaeralcea gierischii	Gierisch's globemallow	 	doc pdf
SPGR2	Sphaeralcea grossulariifolia	gooseberryleaf globemallow	 	doc pdf
SPMU2	Sphaeralcea munroana	Munro's globemallow	 	doc pdf
SPDO	Spiraea douglasii	rose spirea	doc pdf	 
SPDI6	Spiranthes diluvialis	Ute lady's tresses	 	doc pdf
SPAI	Sporobolus airoides	alkali sacaton	doc pdf	doc pdf
SPCOC2	Sporobolus compositus var. compositus	composite dropseed	doc pdf	doc pdf
SPCO4	Sporobolus contractus	spike dropseed	doc pdf	 
SPCR	Sporobolus cryptandrus	sand dropseed	doc pdf	doc pdf
SPCU	Sporobolus curtissii	Curtis' dropseed	doc pdf	 
SPFL3	Sporobolus floridanus	Florida dropseed	doc pdf	 
SPJU	Sporobolus junceus	pineywoods dropseed	doc pdf	doc pdf
SPTE5	Sporobolus texanus	Texas dropseed	doc pdf	 
SPVI3	Sporobolus virginicus	seashore dropseed	doc pdf	 
SPWR2	Sporobolus wrightii	big sacaton	doc pdf	 
STHE9	Strophostyles helvola	amberique-bean	 	 
STHE4	Strophostyles helvula		 	doc pdf
STPE15	Stuckenia pectinata	sago pondweed	doc pdf	doc pdf
SYAL	Symphoricarpos albus	common snowberry	doc pdf	doc pdf
SYAS3	Symphyotrichum ascendens	western aster	 	doc pdf
SYCH4	Symphyotrichum chilense	Pacific aster	doc pdf	 
SYERE	Symphyotrichum ericoides var. ericoides	white heath aster	 	doc pdf
SYLAL3	Symphyotrichum laeve var. laeve	smooth blue aster	 	doc pdf
SYLAL4	Symphyotrichum lanceolatum ssp. lanceolatum var. lanceolatum	white panicle aster	 	doc pdf
SYNO2	Symphyotrichum novae-angliae	New England aster	doc pdf	doc pdf
SYNON	Symphyotrichum novi-belgii var. novi-belgii	New York aster	 	doc pdf
SYOB	Symphyotrichum oblongifolium	aromatic aster	doc pdf	 
SYPR6	Symphyotrichum prenanthoides	crookedstem aster	doc pdf	 
SYVI3	Syringa villosa	villous lilac	 	doc pdf
SYVU	Syringa vulgaris	common lilac	 	doc pdf
TACA8	Taeniatherum caput-medusae	medusahead	 	doc pdf
TADI2	Taxodium distichum	bald cypress	doc pdf	doc pdf
TECA2	Tetradymia canescens	spineless horsebrush	 	doc pdf
TESP2	Tetradymia spinosa	shortspine horsebrush	 	doc pdf
THDE	Thalia dealbata	powdery alligator-flag	doc pdf	 
THMOM3	Thermopsis montana var. montana	mountain goldenbanner	 	doc pdf
THIN6	Thinopyrum intermedium	intermediate wheatgrass	doc pdf	doc pdf
THPO7	Thinopyrum ponticum	tall wheatgrass	 	doc pdf
THOC2	Thuja occidentalis	arborvitae	 	doc pdf
THPL	Thuja plicata	western redcedar	 	doc pdf
TIAM	Tilia americana	American basswood	 	doc pdf
TIAMA	Tilia americana var. americana	American basswood	 	doc pdf
TIAMC	Tilia americana var. caroliniana	Carolina basswood	 	doc pdf
TIAMH	Tilia americana var. heterophylla	American basswood	 	doc pdf
TIUS	Tillandsia usneoides	Spanish moss	 	doc pdf
TOPAP3	Torreyochloa pallida var. pauciflora	pale false mannagrass	doc pdf	 
TOAP	Townsendia aprica	Last Chance Townsend daisy	 	doc pdf
TRVI	Tradescantia virginiana	Virginia spiderwort	 	doc pdf
TRSE6	Triadica sebifera	Chinese tallow	 	doc pdf
TRCR9	Trichloris crinita	false Rhodes grass	 	 
CHCR	Chloris crinita		doc pdf	 
TRPL3	Trichloris pluriflora	multiflower false Rhodes grass	 	doc pdf
CHPL2	Chloris pluriflora		doc pdf	 
TRLA4	Trichostema lanceolatum	vinegarweed	 	doc pdf
TRAL2	Tridens albescens	white tridens	doc pdf	 
TRFL2	Tridens flavus	purpletop tridens	doc pdf	 
TRMU	Tridens muticus	slim tridens	doc pdf	 
TRST2	Tridens strictus	longspike tridens	 	doc pdf
TRFR2	Trifolium fragiferum	strawberry clover	 	doc pdf
TRFR4	Trifolium friscanum	Frisco clover	 	doc pdf
TRHI4	Trifolium hirtum	rose clover	 	doc pdf
TRHY	Trifolium hybridum	alsike clover	doc pdf	doc pdf
TRIN3	Trifolium incarnatum	crimson clover	doc pdf	doc pdf
TRPR2	Trifolium pratense	red clover	doc pdf	doc pdf
TRRE3	Trifolium repens	white clover	doc pdf	doc pdf
TRVE	Trifolium vesiculosum	arrowleaf clover	doc pdf	 
TRWO	Trifolium wormskioldii	cows clover	 	doc pdf
TRDA3	Tripsacum dactyloides	eastern gamagrass	doc pdf	doc pdf
TRHY3	Triteleia hyacinthina	white brodiaea	 	doc pdf
TRIX	Triteleia ixioides	prettyface	 	doc pdf
TRLA16	Triteleia laxa	Ithuriel's spear	 	doc pdf
TSCA	Tsuga canadensis	eastern hemlock	 	doc pdf
TSHE	Tsuga heterophylla	western hemlock	 	doc pdf
TYAN	Typha angustifolia	narrowleaf cattail	 	doc pdf
TYDO	Typha domingensis	southern cattail	 	doc pdf
TYLA	Typha latifolia	broadleaf cattail	 	doc pdf
ULPA	Ulmus parvifolia	Chinese elm	 	doc pdf
ULPU	Ulmus pumila	Siberian elm	doc pdf	doc pdf
ULRU	Ulmus rubra	slippery elm	 	doc pdf
UMCA	Umbellularia californica	California laurel	 	doc pdf
UNPA	Uniola paniculata	seaoats	doc pdf	doc pdf
