Symbol	Scientific Name	Common Name	Fact Sheets	Plant Guides
DEEL	Deschampsia elongata	slender hairgrass	doc pdf	 
DEIL	Desmanthus illinoensis	Illinois bundleflower	doc pdf	doc pdf
DEVE2	Desmanthus velutinus	velvet bundleflower	doc pdf	 
DEVI3	Desmanthus virgatus	wild tantan	 	doc pdf
DECA7	Desmodium canadense	showy ticktrefoil	doc pdf	doc pdf
DECI	Desmodium ciliare	hairy small-leaf ticktrefoil	doc pdf	 
DEGL4	Desmodium glabellum	Dillenius' ticktrefoil	doc pdf	doc pdf
DEPA6	Desmodium paniculatum	panicledleaf ticktrefoil	doc pdf	doc pdf
DETR4	Desmodium triflorum	threeflower ticktrefoil	 	doc pdf
DICL	Dichanthelium clandestinum	deertongue	doc pdf	 
DIOLS	Dichanthelium oligosanthes var. scribnerianum	Scribner's rosette grass	 	 
PASC5	Panicum scribnerianum		doc pdf	 
DISC3	Dichanthelium scoparium	velvet panicum	doc pdf	doc pdf
DICA14	Dichelostemma capitatum	bluedicks	 	doc pdf
DICAC5	Dichelostemma capitatum ssp. capitatum	bluedicks	 	doc pdf
DICAP	Dichelostemma capitatum ssp. pauciflorum	bluedicks	 	doc pdf
DICA8	Digitaria californica	Arizona cottontop	doc pdf	 
DICO6	Digitaria cognata	fall witchgrass	doc pdf	 
DIVI5	Diospyros virginiana	common persimmon	 	doc pdf
DISP	Distichlis spicata	saltgrass	doc pdf	doc pdf
DOVI	Dodonaea viscosa	Florida hopbush	doc pdf	 
DRAM	Dracopis amplexicaulis	clasping coneflower	doc pdf	 
ECAN2	Echinacea angustifolia	blacksamson echinacea	 	doc pdf
ECPA	Echinacea pallida	pale purple coneflower	doc pdf	doc pdf
ECPU	Echinacea purpurea	eastern purple coneflower	doc pdf	doc pdf
ECSA	Echinacea sanguinea	sanguine purple coneflower	 	doc pdf
ECES	Echinochloa esculenta	Japanese millet	 	doc pdf
ECFR	Echinochloa frumentacea	billion-dollar grass	doc pdf	 
ECCO3	Echinodorus cordifolius	creeping burhead	doc pdf	 
ECVU	Echium vulgare	common viper's bugloss	 	doc pdf
ELCO	Elaeagnus commutata	silverberry	 	doc pdf
ELPA3	Eleocharis palustris	common spikerush	doc pdf	doc pdf
ELCA4	Elymus canadensis	Canada wildrye	doc pdf	doc pdf
ELDA3	Elymus dahuricus	Dahurian wild rye	 	doc pdf
ELEL5	Elymus elymoides	squirreltail	 	doc pdf
ELELB2	Elymus elymoides ssp. brevifolius	squirreltail	doc pdf	 
ELGL3	Elymus glabriflorus	southeastern wildrye	 	doc pdf
ELGL	Elymus glaucus	blue wildrye	 	doc pdf
ELHO3	Elymus hoffmannii	RS wheatgrass	 	doc pdf
ELLA3	Elymus lanceolatus	thickspike wheatgrass	 	doc pdf
ELLAL	Elymus lanceolatus ssp. lanceolatus	thickspike wheatgrass	 	doc pdf
ELLAP	Elymus lanceolatus ssp. psammophilus	Great Lakes wheatgrass	 	doc pdf
ELMU3	Elymus multisetus	big squirreltail	 	doc pdf
ELTR7	Elymus trachycaulus	slender wheatgrass	doc pdf	doc pdf
ELTRT	Elymus trachycaulus ssp. trachycaulus	slender wheatgrass	 	doc pdf
ELVI3	Elymus virginicus	Virginia wildrye	doc pdf	doc pdf
ELWA2	Elymus wawawaiensis	Snake River wheatgrass	doc pdf	doc pdf
ENVI	Encelia virginensis	Virgin River brittlebush	 	doc pdf
ENPE4	Engelmannia peristenia	Engelmann's daisy	doc pdf	doc pdf
EPNE	Ephedra nevadensis	Nevada jointfir	 	doc pdf
EPVI	Ephedra viridis	mormon tea	 	doc pdf
EPCA3	Epilobium canum	hummingbird trumpet	 	doc pdf
ERCU2	Eragrostis curvula	weeping lovegrass	doc pdf	 
ERIN	Eragrostis intermedia	plains lovegrass	doc pdf	doc pdf
ERSEO	Eragrostis secundiflora ssp. oxylepis	red lovegrass	 	doc pdf
ERSP	Eragrostis spectabilis	purple lovegrass	doc pdf	 
ERSP2	Eragrostis spicata	spike lovegrass	 	doc pdf
ERTR3	Eragrostis trichodes	sand lovegrass	doc pdf	doc pdf
ERVA	Eragrostis variabilis	kawelu	doc pdf	 
